Date,Name,Year,Letterboxd URI,Rating,Rewatch,Tags,Watched Date
2020-05-03,A Rainy Day in New York,2019,https://boxd.it/17AxBH,2.5,Yes,,2020-05-02
2020-05-04,Vita & Virginia,2018,https://boxd.it/17PN7X,3.5,,,2020-05-04
2020-05-05,Two Lovers,2008,https://boxd.it/17XdZl,4,,,2020-05-05
2020-05-07,The Place,2017,https://boxd.it/185bID,2.5,,,2020-05-06
2020-05-08,Honey Boy,2019,https://boxd.it/18cwDX,3.5,,,2020-05-07
2020-05-09,"Sometimes, I Think About Dying",2019,https://boxd.it/18k52L,,,,2020-05-08
2020-05-10,Ali: Fear Eats the Soul,1974,https://boxd.it/18qJkH,4.5,,,2020-05-09
2020-05-15,Punch-Drunk Love,2002,https://boxd.it/1935nf,,,,2020-05-15
2020-05-17,The Basketball Diaries,1995,https://boxd.it/19gLI1,2.5,,,2020-05-16
2020-05-18,System Crasher,2019,https://boxd.it/19pq8p,4,,,2020-05-18
2020-05-20,Tale in the Darkness,2009,https://boxd.it/19DSzV,,,,2020-05-20
2020-05-27,My Friend Dahmer,2017,https://boxd.it/1arnx5,2.5,,,2020-05-26
2020-05-28,The Half of It,2020,https://boxd.it/1aznfr,2.5,,,2020-05-27
2020-05-29,Unorthodox,2020,https://boxd.it/1aJnK5,3.5,,,2020-05-29
2020-05-30,The Lodge,2019,https://boxd.it/1aKSfJ,3.5,,,2020-05-29
2020-05-31,Sicario,2015,https://boxd.it/1aR2ah,3,,,2020-05-30
2020-05-31,Inside Man,2006,https://boxd.it/1aROyB,4,,,2020-05-30
2020-05-31,Dragged Across Concrete,2018,https://boxd.it/1aWgZN,3.5,,,2020-05-31
2020-06-01,Phantom Thread,2017,https://boxd.it/1aXkm3,,Yes,,2020-05-31
2020-06-02,A Pigeon Sat on a Branch Reflecting on Existence,2014,https://boxd.it/1b4sNb,,,,2020-06-01
2020-06-02,Sister,2018,https://boxd.it/1b4PSX,3.5,,,2020-06-01
2020-06-02,Carol,2015,https://boxd.it/1b9vHv,3.5,,,2020-06-02
2020-06-06,Collateral,2004,https://boxd.it/1btwP1,3,,,2020-06-05
2020-06-07,At Eternity's Gate,2018,https://boxd.it/1bANR3,4,,,2020-06-06
2020-06-08,Mishima: A Life in Four Chapters,1985,https://boxd.it/1bGoMp,,,,2020-06-07
2020-06-11,The Place Beyond the Pines,2012,https://boxd.it/1c32eh,3.5,,,2020-06-10
2020-06-11,Little Miss Sunshine,2006,https://boxd.it/1c6AYJ,5,,,2020-06-11
2020-06-12,A Separation,2011,https://boxd.it/1c8hkJ,4,,,2020-06-11
2020-06-14,The Best Offer,2013,https://boxd.it/1cliQn,3.5,,,2020-06-13
2020-06-15,Bad Genius,2017,https://boxd.it/1csjYL,3.5,,,2020-06-14
2020-06-17,American Psycho,2000,https://boxd.it/1cFs7d,3.5,,,2020-06-16
2020-06-19,Jacob's Ladder,1990,https://boxd.it/1cRV0T,3,,,2020-06-18
2020-06-20,The Florida Project,2017,https://boxd.it/1cWlBf,3.5,,,2020-06-19
2020-06-20,Safe,1995,https://boxd.it/1cYxV1,4.5,,,2020-06-20
2020-06-21,Drive,2011,https://boxd.it/1d2z7v,4.5,,,2020-06-20
2020-06-21,The Neon Demon,2016,https://boxd.it/1d4cNR,4.5,,,2020-06-20
2020-06-24,Lady Bird,2017,https://boxd.it/1dn0fL,5,Yes,,2020-06-23
2020-06-26,The Dreamers,2003,https://boxd.it/1dxwrp,4,,,2020-06-25
2020-06-28,Never Look Away,2018,https://boxd.it/1dJDCN,4,,,2020-06-27
2020-06-29,The Way Way Back,2013,https://boxd.it/1dVKsJ,3.5,,,2020-06-29
2020-07-03,PlayTime,1967,https://boxd.it/1egght,4,,,2020-07-03
2020-07-04,Magnolia,1999,https://boxd.it/1eqe4R,4,,,2020-07-04
2020-07-06,12 Angry Men,1957,https://boxd.it/1eA8h1,5,,,2020-07-05
2020-07-08,Clueless,1995,https://boxd.it/1eRtPx,5,,,2020-07-08
